Period as of,Assets,Liabilities,Equity,Paid-up Capital,Revenue,Profit (Loss) from Other Activities,Net Profit,EPS (Baht),ROA (%),ROE (%),Net Profit Margin (%),Symbol
Y/E 2018 31 Dec 2018,8690.27,1269.13,7421.14,450.0,7574.57,5.21,1431.35,3.18,19.27,20.26,18.9,PB
Y/E 2019 31 Dec 2019,9480.09,1110.72,8369.37,450.0,7848.62,4.12,1700.74,3.78,21.11,21.54,21.67,PB
Y/E 2020 31 Dec 2020,10298.89,1049.02,9249.87,450.0,7246.34,3.44,1678.67,3.73,19.19,19.05,23.17,PB
Y/E 2021 31 Dec 2021,11234.21,1093.73,10140.47,450.0,7253.52,3.25,1687.67,3.75,17.67,17.41,23.27,PB
9M/2022 30 Sep 2022,11647.07,1171.94,10475.13,450.0,5625.07,4.49,1245.48,2.77,16.71,16.39,22.14,PB
Y/E 2021 31 Dec 2021,726.54,365.34,361.20,250.00,1009.47,-,85.63,0.17,15.90,23.71,8.48,PLUS
9M/2022 30 Sep 2022,1502.75,278.23,1224.52,335.00,1215.70,-,177.09,0.30,16.73,16.22,14.57,PLUS
Y/E 2018 31 Dec 2018,2565.19,858.43,1707.45,598.25,4484.38,13.85,367.89,0.61,18.14,21.5,8.13,PM
Y/E 2019 31 Dec 2019,2586.28,939.65,1653.28,598.25,4123.61,2.2,276.11,0.45,14.03,16.43,6.55,PM
Y/E 2020 31 Dec 2020,2457.28,1093.36,1375.14,598.25,4183.07,-11.63,404.32,0.69,19.26,26.7,9.53,PM
Y/E 2021 31 Dec 2021,2585.14,1154.83,1451.77,598.25,4386.45,8.66,354.82,0.64,17.36,25.1,7.86,PM
9M/2022 30 Sep 2022,2769.66,1402.8,1395.82,598.25,3771.04,-25.32,194.6,0.35,14.5,22.33,4.96,PM
Y/E 2018 31 Dec 2018,11823.11,3036.62,8779.56,600.0,2580.76,6.44,321.6,0.54,2.89,3.76,12.15,PRG
Y/E 2019 31 Dec 2019,11741.2,2725.47,9010.7,600.0,2370.99,3.81,353.17,0.59,3.12,3.97,14.83,PRG
Y/E 2020 31 Dec 2020,7551.66,1926.84,5627.55,600.0,1975.97,189.09,405.19,0.68,4.26,5.54,20.39,PRG
Y/E 2021 31 Dec 2021,8452.46,2289.71,6162.75,600.0,2113.17,1.19,416.4,0.69,5.33,7.06,19.7,PRG
9M/2022 30 Sep 2022,10378.25,2386.31,7991.94,658.58,1648.80,-,417.99,0.66,6.51,8.52,25.35,PRG
Y/E 2018 31 Dec 2018,3447.66,1355.90,2092.83,1480.00,2749.59,-,323.75,0.26,12.42,15.47,11.68,RBF
Y/E 2019 31 Dec 2019,4412.31,542.44,3870.27,2000.00,2881.99,-,352.78,0.22,11.93,11.83,12.27,RBF
Y/E 2020 31 Dec 2020,4883.40,794.58,4090.93,2000.00,3187.27,-,519.02,0.26,13.92,13.04,16.23,RBF
Y/E 2021 31 Dec 2021,5005.52,768.97,4224.23,2000.0,3391.06,10.49,420.1,0.21,12.27,10.1,12.47,RBF
9M/2022 30 Sep 2022,5112.2,763.66,4325.57,2000.0,2962.08,33.02,388.29,0.19,12.64,11.63,13.35,RBF
Y/E 2018 31 Dec 2018,2922.91,499.37,2428.39,304.37,2878.4,7.56,351.55,1.16,15.39,15.01,12.21,SAPPE
Y/E 2019 31 Dec 2019,3389.97,646.2,2647.19,304.38,3369.4,-0.89,403.06,1.32,15.96,15.88,11.95,SAPPE
Y/E 2020 31 Dec 2020,3647.16,774.05,2771.59,304.38,3323.61,-21.46,380.16,1.25,13.79,14.03,11.61,SAPPE
Y/E 2021 31 Dec 2021,3848.4,841.93,2905.68,306.09,3712.77,-26.77,410.81,1.35,13.84,14.47,11.05,SAPPE
9M/2022 30 Sep 2022,4295.48,1081.22,3110.25,308.29,3832.35,-34.5,498.81,1.62,17.39,18.6,13.1,SAPPE
Y/E 2018 31 Dec 2018,2683.5,280.17,2403.33,360.0,2864.26,5.28,437.01,1.21,20.47,18.49,15.26,SAUCE
Y/E 2019 31 Dec 2019,2777.12,284.75,2492.38,360.0,2929.78,1.03,445.52,1.24,20.24,18.2,15.21,SAUCE
Y/E 2020 31 Dec 2020,2931.01,296.52,2634.49,360.0,2960.83,3.2,543.41,1.51,23.68,21.2,18.35,SAUCE
Y/E 2021 31 Dec 2021,3120.63,317.21,2803.42,360.0,3134.02,4.76,618.93,1.72,25.48,22.76,19.75,SAUCE
9M/2022 30 Sep 2022,2973.55,298.82,2674.73,360.0,2415.57,2.2,447.31,1.24,25.83,22.96,18.52,SAUCE
Y/E 2018 30 Sep 2018,2766.35,386.48,2379.87,210.0,2428.31,208.0,168.98,8.05,5.22,7.03,6.96,SFP
Y/E 2019 30 Sep 2019,1998.22,276.05,1722.17,210.0,1951.61,90.41,-467.06,-22.24,-18.11,-22.77,-23.93,SFP
Y/E 2020 30 Sep 2020,1796.49,323.07,1473.42,210.0,2062.94,86.54,-246.57,-11.74,-15.61,-15.43,-11.95,SFP
Y/E 2021 30 Sep 2021,2003.87,450.38,1553.49,210.0,2632.73,46.95,88.13,4.2,4.48,5.82,3.35,SFP
Y/E 2022 30 Sep 2022,2313.83,580.63,1733.2,210.0,3379.16,54.89,189.67,9.03,11.17,11.54,5.61,SFP
Y/E 2020 31 Dec 2020,3976.23,3515.81,221.01,360.00,4435.67,-,93.82,0.13,4.39,42.45,1.67,SNNP
Y/E 2021 31 Dec 2021,4152.27,1061.59,2837.66,480.0,4391.09,102.67,437.17,0.53,13.48,28.59,9.6,SNNP
9M/2022 30 Sep 2022,4916.27,1680.49,2949.67,480.0,3969.93,-19.83,363.26,0.38,14.03,17.39,9.14,SNNP
Y/E 2018 31 Dec 2018,4039.57,1450.3,2521.33,490.41,7706.75,-3.59,400.21,0.81,11.12,15.89,4.89,SNP
Y/E 2019 31 Dec 2019,3891.4,1355.34,2489.84,490.41,7384.91,-0.01,314.4,0.64,8.79,12.55,4.12,SNP
Y/E 2020 31 Dec 2020,5389.17,2993.69,2359.49,490.41,5285.6,-43.45,183.03,0.37,6.27,7.55,3.44,SNP
Y/E 2021 31 Dec 2021,5065.94,2449.92,2577.72,511.51,4913.37,16.48,340.02,0.69,8.94,13.77,6.95,SNP
9M/2022 30 Sep 2022,5016.13,2412.52,2561.11,512.39,4204.23,7.55,327.83,0.64,12.1,18.02,7.88,SNP
Y/E 2018 31 Dec 2018,2405.71,1347.55,1056.74,323.4,2929.91,22.25,191.27,5.91,11.43,19.19,6.54,SORKON
Y/E 2019 31 Dec 2019,2566.13,1480.57,1083.98,323.40,2864.96,-,112.11,3.47,6.85,10.47,3.93,SORKON
Y/E 2020 31 Dec 2020,2654.52,1508.86,1144.11,323.4,2793.92,-1.57,109.93,0.34,6.42,9.87,3.95,SORKON
Y/E 2021 31 Dec 2021,2785.03,1561.12,1222.17,323.4,2812.16,36.3,142.42,0.44,7.53,12.04,5.08,SORKON
9M/2022 30 Sep 2022,2920.17,1661.84,1256.37,323.4,2359.96,-1.08,82.84,0.26,7.33,10.93,3.52,SORKON
Y/E 2018 30 Sep 2018,11659.32,3118.73,8540.59,265.9,11159.2,126.93,-277.74,-1.04,-2.37,-3.22,-2.49,SSC
Y/E 2019 30 Sep 2019,12400.03,3666.38,8733.66,265.9,11915.93,176.85,-452.52,-1.7,-1.64,-5.24,-3.8,SSC
Y/E 2020 30 Sep 2020,12499.91,3602.55,8897.36,265.9,10993.83,187.97,169.13,0.64,1.28,1.92,1.54,SSC
Y/E 2021 30 Sep 2021,12781.69,3780.22,9001.47,265.9,9760.82,154.12,83.24,0.31,1.45,0.93,0.85,SSC
Y/E 2022 30 Sep 2022,13671.14,4356.03,9315.12,265.9,11058.81,167.51,12.66,0.05,1.4,0.14,0.11,SSC
Y/E 2018 31 Dec 2018,4390.79,2232.97,1635.07,270.0,5133.15,55.84,-64.84,-0.24,4.63,-3.86,2.21,SSF
Y/E 2019 31 Dec 2019,4205.37,1970.28,1615.95,270.0,5934.02,109.26,75.47,0.28,8.66,4.64,5.1,SSF
Y/E 2020 31 Dec 2020,4180.86,1813.43,1712.56,270.0,5945.24,4.53,148.54,0.55,11.26,8.93,6.92,SSF
Y/E 2021 31 Dec 2021,4169.31,1578.34,1936.2,270.0,5694.8,49.91,205.22,0.76,11.89,11.25,7.78,SSF
9M/2022 30 Sep 2022,4290.45,1935.18,1870.97,270.0,4616.61,38.76,74.76,0.28,6.67,6.99,3.09,SSF
Y/E 2018 31 Dec 2018,5706.79,2416.38,2294.11,455.81,3655.21,11.55,44.78,0.1,1.97,1.97,1.11,SST
Y/E 2019 31 Dec 2019,5581.3,2337.17,2283.81,455.81,3488.54,-19.02,5.93,0.01,1.25,0.26,-0.21,SST
Y/E 2020 31 Dec 2020,6963.53,4151.21,2035.46,501.39,2730.38,-24.92,-280.01,-0.56,-4.58,-12.97,-16.33,SST
Y/E 2021 31 Dec 2021,6984.56,4305.21,1969.34,526.46,2715.56,19.52,-33.01,-0.06,1.42,-1.65,-2.84,SST
9M/2022 30 Sep 2022,7454.72,4782.32,2010.47,526.46,3073.52,16.5,23.3,0.04,2.99,1.76,0.16,SST
Y/E 2018 31 Dec 2018,1267.46,358.88,908.59,215.0,1838.38,-8.1,56.4,0.13,4.92,6.12,3.07,SUN
Y/E 2019 31 Dec 2019,1343.31,492.48,850.82,215.0,1925.48,14.22,-41.88,-0.1,-3.51,-4.76,-2.18,SUN
Y/E 2020 31 Dec 2020,1293.02,270.99,1022.03,215.0,2617.77,12.31,192.91,0.45,16.21,20.6,7.37,SUN
Y/E 2021 31 Dec 2021,1453.56,311.23,1142.34,322.5,2987.78,-38.4,208.82,0.32,17.75,19.3,6.99,SUN
9M/2022 30 Sep 2022,1630.77,496.65,1134.12,322.5,2420.86,-80.57,88.53,0.14,12.52,13.94,3.66,SUN
Y/E 2018 31 Dec 2018,2557.79,784.81,1772.98,330.0,5012.8,20.1,167.59,0.51,7.0,9.87,3.34,TC
Y/E 2019 31 Dec 2019,2382.17,566.54,1815.63,330.0,4910.6,-17.17,107.36,0.33,4.4,5.98,2.19,TC
Y/E 2020 31 Dec 2020,2675.94,652.75,2023.19,330.0,4968.01,22.61,247.16,0.75,12.25,12.88,4.97,TC
Y/E 2021 31 Dec 2021,3055.21,951.2,2104.01,330.0,4335.82,62.13,153.7,0.47,6.75,7.45,3.54,TC
9M/2022 30 Sep 2022,3419.99,941.83,2478.16,330.0,4557.35,66.98,423.65,1.28,15.67,20.47,9.3,TC
Y/E 2018 31 Dec 2018,22711.06,14875.71,7835.33,5113.31,28374.05,-94.99,645.46,0.13,4.69,8.49,2.17,TFG
Y/E 2019 31 Dec 2019,22786.59,12900.77,9885.8,5607.57,29105.51,-14.23,1440.0,0.27,8.57,16.25,4.95,TFG
Y/E 2020 31 Dec 2020,26090.76,14950.48,11116.47,5607.57,31702.08,155.66,2563.29,0.46,14.61,24.41,8.05,TFG
Y/E 2021 31 Dec 2021,35567.05,23996.59,11556.34,5643.96,35074.25,175.66,561.7,0.1,5.16,4.95,1.57,TFG
9M/2022 30 Sep 2022,44968.66,30417.81,14529.22,5654.06,37518.91,-398.78,3590.83,0.64,13.78,29.16,9.59,TFG
Y/E 2018 31 Dec 2018,30841.57,4018.62,20899.8,329.7,22866.76,234.72,3404.4,10.33,16.41,16.7,18.99,TFMAMA
Y/E 2019 31 Dec 2019,34253.43,4208.69,23391.96,329.7,24518.36,490.37,3943.07,11.96,18.08,17.8,20.98,TFMAMA
Y/E 2020 31 Dec 2020,37416.57,4025.12,25975.41,329.7,23838.54,327.25,4090.01,12.41,15.92,16.57,22.03,TFMAMA
Y/E 2021 31 Dec 2021,40493.68,4271.14,28176.82,329.7,25095.88,314.35,3574.64,10.84,13.89,13.2,18.83,TFMAMA
9M/2022 30 Sep 2022,42137.54,4923.82,28834.37,329.7,20094.46,250.76,1954.74,5.93,11.17,10.05,14.04,TFMAMA
Y/E 2018 31 Dec 2018,7076.57,2903.17,4173.4,482.58,4356.03,132.66,-30.88,-0.06,1.1,-0.72,-0.71,TIPCO
Y/E 2019 31 Dec 2019,6669.0,2762.21,3906.8,482.58,3687.09,732.67,207.67,0.43,3.82,5.14,5.63,TIPCO
Y/E 2020 31 Dec 2020,6487.26,2267.76,4219.5,482.58,2575.81,812.78,481.81,1.0,8.15,11.86,18.71,TIPCO
Y/E 2021 31 Dec 2021,6438.1,2037.21,4400.89,482.58,2523.99,504.14,428.6,0.89,6.99,9.94,16.98,TIPCO
9M/2022 30 Sep 2022,6518.26,2029.54,4488.73,482.58,2248.25,307.61,141.92,0.29,4.56,5.95,6.31,TIPCO
Y/E 2018 31 Dec 2018,3787.35,1619.11,2164.6,345.0,5697.41,-2.26,459.18,0.33,15.29,21.16,8.01,TKN
Y/E 2019 31 Dec 2019,3706.58,1565.37,2140.92,345.0,5296.34,1.0,366.24,0.26,10.65,17.01,6.83,TKN
Y/E 2020 31 Dec 2020,3480.92,1458.35,2023.0,345.0,3998.98,0.29,242.62,0.18,8.1,11.65,6.05,TKN
Y/E 2021 31 Dec 2021,3454.22,1458.67,1997.24,345.0,3636.46,8.02,182.13,0.13,5.88,9.06,4.98,TKN
9M/2022 30 Sep 2022,3190.44,1132.61,2059.86,345.00,3183.41,-,313.56,0.22,13.47,20.04,9.85,TKN
Y/E 2018 31 Dec 2018,141916.08,95422.04,43233.47,1192.95,135306.37,1417.29,3256.21,0.68,4.52,7.43,2.7,TU
Y/E 2019 31 Dec 2019,141909.05,90114.09,48423.2,1192.95,128445.7,740.41,3815.88,0.8,4.57,8.33,3.24,TU
Y/E 2020 31 Dec 2020,144574.67,88838.02,52185.26,1192.95,134111.99,-527.49,6246.09,1.26,6.29,12.42,4.85,TU
Y/E 2021 31 Dec 2021,166604.04,104390.64,59319.07,1192.95,141858.21,1712.94,8013.0,1.66,6.9,14.37,5.83,TU
9M/2022 30 Sep 2022,178920.45,115278.45,60875.54,1192.95,116663.96,425.86,5899.84,1.22,5.45,13.29,5.16,TU
Y/E 2018 31 Dec 2018,11038.0,2192.57,8468.87,808.61,25236.74,89.39,1867.44,2.31,20.37,22.42,7.55,TVO
Y/E 2019 31 Dec 2019,11765.55,2716.25,8664.65,808.61,23743.99,56.05,1410.53,1.74,15.88,16.47,6.13,TVO
Y/E 2020 31 Dec 2020,13908.11,4373.39,9123.07,808.61,25046.43,18.33,1655.8,2.05,16.66,18.62,6.88,TVO
Y/E 2021 31 Dec 2021,13342.68,3437.7,9512.47,808.61,31575.67,224.37,2067.61,2.56,19.3,22.19,6.67,TVO
9M/2022 30 Sep 2022,16496.0,5358.34,10749.84,808.61,29254.05,296.19,2207.39,2.48,19.85,22.89,7.64,TVO
Y/E 2018 31 Dec 2018,776.0,218.7,557.29,3169.9,304.92,-0.93,5.23,0.0,2.69,0.94,1.72,W
Y/E 2019 31 Dec 2019,1255.98,292.38,788.16,9391.31,430.5,168.62,-21.88,0.0,-2.18,-3.25,-5.08,W
Y/E 2020 31 Dec 2020,1280.54,332.44,948.1,12208.7,419.89,-112.61,-238.81,-0.02,-17.18,-27.51,-56.47,W
Y/E 2021 31 Dec 2021,1320.59,647.19,673.4,813.91,426.22,-0.32,-276.45,-0.34,-20.4,-34.1,-64.86,W
9M/2022 30 Sep 2022,1439.5,1063.17,370.77,813.91,494.46,-1.68,-302.63,-0.37,-24.41,-66.85,-61.48,W
Y/E 2018 31 Dec 2018,1563.99,1095.37,468.61,225.00,2964.65,-,140.21,0.86,12.51,33.62,4.73,ZEN
Y/E 2019 31 Dec 2019,2044.12,610.05,1434.08,300.00,3144.17,-,106.22,0.36,7.28,11.17,3.38,ZEN
Y/E 2020 31 Dec 2020,2688.96,1477.83,1211.13,300.0,2333.39,-1.15,-63.66,-0.21,-2.15,-4.81,-2.73,ZEN
Y/E 2021 31 Dec 2021,2557.2,1397.83,1122.45,300.0,2255.32,-1.67,-91.57,-0.3,-2.83,-7.85,-3.93,ZEN
9M/2022 30 Sep 2022,2703.67,1418.7,1224.97,300.0,2467.57,-1.48,99.18,0.37,7.31,9.29,4.52,ZEN
Y/E 2019 30 Jun 2019,1398.13,204.78,1193.35,455.74,870.15,0.89,-21.13,-0.46,-1.59,-1.75,-2.43,AFC
Y/E 2020 30 Jun 2020,1466.87,302.01,1164.86,455.74,584.73,-6.88,-42.73,-0.94,-2.9,-3.62,-7.31,AFC
Y/E 2021 30 Jun 2021,1451.11,257.4,1193.72,455.74,782.52,-5.38,40.96,0.9,2.82,3.47,5.23,AFC
Y/E 2022 30 Jun 2022,1533.08,309.95,1223.13,455.74,1053.28,-1.49,29.67,0.65,2.29,2.46,2.82,AFC
Q1/2023 30 Sep 2022,1549.02,333.2,1215.81,455.74,201.94,-1.93,-7.31,-0.16,1.63,1.7,-3.62,AFC
Y/E 2021 31 Dec 2021,10046.13,7644.39,2401.74,1000.0,22270.34,12.81,586.1,58.61,9.29,24.4,2.65,AURA
9M/2022 30 Sep 2022,10332.22,7434.95,2897.27,1000.0,21400.43,13.85,495.53,0.5,9.82,22.2,2.32,AURA
Y/E 2018 31 Dec 2018,728.99,269.78,459.21,120.0,855.74,0.05,11.0,0.92,2.69,2.41,1.29,BTNC
Y/E 2019 31 Dec 2019,670.73,216.19,454.54,120.0,765.09,0.1,2.99,0.25,1.31,0.65,0.39,BTNC
Y/E 2020 31 Dec 2020,633.43,233.41,400.02,120.00,385.35,-,-47.35,-3.95,-8.98,-11.08,-12.29,BTNC
Y/E 2021 31 Dec 2021,677.76,238.45,439.30,120.00,427.79,-,-25.09,-2.09,-5.44,-5.98,-5.86,BTNC
9M/2022 30 Sep 2022,544.93,98.77,446.16,120.00,227.64,-,7.32,0.61,-0.17,-0.32,3.21,BTNC
Y/E 2018 31 Dec 2018,1566.05,777.43,788.59,400.0,1595.3,0.63,-6.73,-0.17,0.99,-0.85,-0.42,CPH
Y/E 2019 31 Dec 2019,1214.13,652.82,561.28,400.0,1556.5,13.07,-223.42,-5.59,-13.33,-33.1,-14.35,CPH
Y/E 2020 31 Dec 2020,1428.81,779.82,648.96,400.0,1334.78,16.77,-17.99,-0.45,0.91,-2.97,-1.35,CPH
Y/E 2021 31 Dec 2021,1677.04,1008.55,668.46,400.0,1556.87,-0.04,17.68,0.44,3.38,2.68,1.14,CPH
9M/2022 30 Sep 2022,1678.25,759.47,918.75,400.0,1845.56,17.51,250.3,6.26,20.23,35.61,13.56,CPH
Y/E 2018 31 Dec 2018,2818.61,1734.05,1084.57,439.84,2918.91,3.53,11.98,0.03,2.13,1.11,0.41,CPL
Y/E 2019 31 Dec 2019,2231.11,1316.37,914.74,439.84,2457.45,24.1,-163.89,-0.37,-5.17,-16.39,-6.67,CPL
Y/E 2020 31 Dec 2020,2132.41,1196.58,935.83,439.84,1622.96,-8.63,18.87,0.04,3.07,2.04,1.16,CPL
Y/E 2021 31 Dec 2021,2439.14,1443.04,996.1,439.84,1894.65,-37.66,69.06,0.16,4.02,7.15,3.64,CPL
9M/2022 30 Sep 2022,2444.39,1433.79,1010.6,439.84,1946.37,-1.24,36.49,0.08,3.54,4.75,1.87,CPL
Y/E 2018 31 Dec 2018,745.48,298.9,446.58,149.51,676.68,5.22,19.09,1.28,3.12,4.3,2.82,NC
Y/E 2019 31 Dec 2019,789.52,339.97,449.55,149.51,646.29,3.03,8.31,0.56,1.72,1.86,1.29,NC
Y/E 2020 31 Dec 2020,891.59,455.97,435.62,149.51,461.13,0.78,-35.99,-2.41,-3.64,-8.13,-7.81,NC
Y/E 2021 31 Dec 2021,867.67,411.6,456.07,149.51,402.54,-0.03,-23.25,-1.55,-3.14,-5.21,-5.77,NC
9M/2022 30 Sep 2022,820.59,394.95,425.64,149.51,383.28,-4.67,1.51,0.1,0.19,1.33,0.39,NC
Y/E 2018 31 Dec 2018,744.49,255.25,445.61,275.4,820.05,17.4,53.06,0.1,9.45,12.62,7.4,PAF
Y/E 2019 31 Dec 2019,738.93,197.58,482.15,275.4,862.78,0.63,37.75,0.07,7.34,8.14,5.53,PAF
Y/E 2020 31 Dec 2020,853.21,230.42,596.16,275.4,744.25,1.76,89.57,0.17,12.27,16.61,12.12,PAF
Y/E 2021 31 Dec 2021,860.47,248.79,586.27,275.4,720.87,12.6,-1.94,0.0,0.58,-0.33,-0.27,PAF
9M/2022 30 Sep 2022,918.04,283.31,605.71,275.4,681.04,2.39,27.4,0.05,4.44,4.08,4.73,PAF
Y/E 2018 31 Dec 2018,4053.95,1774.07,2472.63,424.64,2838.07,274.06,167.68,0.4,6.81,7.17,4.84,PDJ
Y/E 2019 31 Dec 2019,4017.73,1874.17,2330.03,462.4,3028.63,-73.52,-241.41,-0.52,-4.54,-10.05,-8.37,PDJ
Y/E 2020 31 Dec 2020,4040.93,1916.76,2179.56,491.16,2502.09,61.33,-95.1,-0.19,-2.41,-4.22,-2.14,PDJ
Y/E 2021 31 Dec 2021,3788.8,1652.1,2185.89,539.03,2965.57,93.87,138.17,0.25,5.91,6.33,4.5,PDJ
9M/2022 30 Sep 2022,4092.55,1827.98,2313.05,539.03,2676.4,-25.31,142.27,0.26,7.0,9.07,5.4,PDJ
Y/E 2018 31 Dec 2018,1670.40,185.17,1485.23,96.00,897.17,-,96.06,1.00,5.66,6.36,10.71,PG
Y/E 2019 31 Dec 2019,1650.33,181.82,1468.50,96.00,748.68,-,3.02,0.03,0.60,0.20,0.40,PG
Y/E 2020 31 Dec 2020,1579.24,200.7,1378.54,96.0,591.71,-5.79,-44.07,-0.46,-2.6,-3.1,-7.45,PG
Y/E 2021 31 Dec 2021,1631.7,225.73,1405.97,96.0,660.67,6.25,10.64,0.11,0.83,0.76,1.61,PG
9M/2022 30 Sep 2022,1664.4,207.36,1457.04,96.0,583.91,4.59,55.02,0.57,3.33,3.66,9.42,PG
Y/E 2018 31 Dec 2018,2602.02,766.64,1835.38,347.50,3102.91,-,361.59,1.04,18.13,19.38,11.65,SABINA
Y/E 2019 31 Dec 2019,3017.91,1156.97,1860.94,347.50,3294.96,-,413.25,1.19,18.66,22.36,12.54,SABINA
Y/E 2020 31 Dec 2020,2803.94,1008.83,1795.11,347.50,2913.83,-,276.81,0.80,12.19,15.14,9.50,SABINA
Y/E 2021 31 Dec 2021,2703.31,874.09,1829.22,347.50,2655.67,-,294.19,0.85,13.55,16.23,11.08,SABINA
9M/2022 30 Sep 2022,2603.49,844.48,1758.26,347.50,2351.64,-,311.13,0.90,19.60,23.54,13.23,SABINA
Y/E 2018 31 Dec 2018,461.49,27.70,433.79,240.00,109.42,-,-24.03,-1.00,-4.80,-5.40,-21.96,SAWANG
Y/E 2019 31 Dec 2019,425.17,27.35,397.82,240.00,87.55,-,-36.38,-1.52,-8.26,-8.75,-41.55,SAWANG
Y/E 2020 31 Dec 2020,391.74,28.14,363.60,240.00,98.50,-,-34.25,-1.43,-8.42,-9.00,-34.77,SAWANG
Y/E 2021 31 Dec 2021,366.26,33.09,333.17,240.0,91.58,-22.08,-30.49,-1.27,-7.98,-8.75,-33.29,SAWANG
9M/2022 30 Sep 2022,356.29,31.80,324.49,240.00,63.48,-,-8.68,-0.36,-8.50,-9.39,-13.67,SAWANG
Y/E 2018 31 Dec 2018,25891.54,3520.84,20478.74,3000.0,11526.77,791.79,1481.79,5.11,7.36,7.34,14.31,SUC
Y/E 2019 31 Dec 2019,25203.58,3128.36,20298.63,3000.0,10715.3,552.68,1111.99,3.83,5.39,5.45,10.97,SUC
Y/E 2020 31 Dec 2020,25716.92,2884.73,21072.4,3000.0,9367.94,415.42,845.09,2.91,4.07,4.09,9.26,SUC
Y/E 2021 31 Dec 2021,26478.33,2554.67,22085.25,3000.0,8932.13,475.51,601.25,2.07,3.17,2.79,7.89,SUC
9M/2022 30 Sep 2022,26588.15,2528.95,22367.85,3000.0,7025.07,401.58,616.66,2.12,3.95,3.21,10.57,SUC
Y/E 2018 31 Dec 2018,4327.88,569.75,3756.68,120.0,1909.79,59.58,195.52,1.63,4.85,5.2,10.2,TNL
Y/E 2019 31 Dec 2019,4311.62,536.0,3775.48,120.0,1778.99,-1.63,89.61,0.75,1.96,2.38,4.96,TNL
Y/E 2020 31 Dec 2020,4336.81,542.76,3793.62,120.0,1250.95,-2.3,10.76,0.09,0.06,0.28,0.88,TNL
Y/E 2021 31 Dec 2021,4493.79,515.65,3977.75,120.0,1438.4,-2.12,62.64,0.52,1.74,1.61,4.35,TNL
9M/2022 30 Sep 2022,4672.81,545.37,4127.07,125.08,1455.91,-0.47,78.83,0.65,3.29,2.21,5.41,TNL
Y/E 2019 31 Mar 2019,26118.68,2046.36,24072.33,201.6,9456.4,1344.42,1576.67,7.82,6.27,6.67,16.67,TR
Y/E 2020 31 Mar 2020,25398.34,1867.86,23530.49,201.6,7451.55,590.89,187.21,0.93,0.52,0.79,2.51,TR
Y/E 2021 31 Mar 2021,27910.73,1870.07,26040.66,201.6,6080.07,275.29,89.49,0.44,0.3,0.36,1.47,TR
Y/E 2022 31 Mar 2022,33446.12,3368.95,30077.16,201.6,10582.43,3045.78,3503.72,17.38,11.42,12.49,33.11,TR
6M/2023 30 Sep 2022,35132.76,2936.67,32196.09,201.6,5496.13,2143.38,2217.94,11.0,9.45,10.57,40.35,TR
Y/E 2018 31 Dec 2018,5655.01,2815.12,2700.37,500.0,3922.86,15.08,-109.65,-2.19,-1.18,-5.25,-2.7,TTI
Y/E 2019 31 Dec 2019,4887.88,2317.09,2428.56,500.0,3051.26,-220.09,-255.53,-5.11,-4.72,-9.96,-8.29,TTI
Y/E 2020 31 Dec 2020,4158.42,1682.24,2333.91,500.00,1948.85,-,-94.65,-1.89,-1.62,-3.97,-4.85,TTI
Y/E 2021 31 Dec 2021,3616.86,1048.97,2418.38,500.00,2281.87,-,53.92,1.08,2.25,2.27,2.63,TTI
9M/2022 30 Sep 2022,3977.26,1313.44,2510.45,500.00,2147.88,-,117.07,2.34,5.25,5.78,5.81,TTI
Y/E 2019 31 Mar 2019,10210.79,2549.09,7661.7,578.4,9592.78,169.73,456.77,7.9,5.7,5.96,4.76,TTT
Y/E 2020 31 Mar 2020,10269.41,2614.13,7655.28,578.4,8751.48,144.67,229.05,3.96,2.8,2.99,2.62,TTT
Y/E 2021 31 Mar 2021,8556.81,1610.12,6946.69,578.4,6478.87,82.9,-567.55,-9.81,-7.23,-7.77,-8.76,TTT
Y/E 2022 31 Mar 2022,8457.5,1547.55,6909.95,578.4,8269.71,136.34,5.75,0.1,0.06,0.08,0.07,TTT
6M/2023 30 Sep 2022,8822.83,1837.7,6985.13,578.4,4898.57,73.0,107.23,1.85,0.6,0.64,2.19,TTT
Y/E 2018 31 Dec 2018,464.82,99.21,365.61,75.00,575.16,-,18.12,2.42,4.41,4.90,3.15,UPF
Y/E 2019 31 Dec 2019,449.60,104.48,345.12,75.00,562.58,-,1.04,0.14,-0.14,0.29,0.19,UPF
Y/E 2020 31 Dec 2020,560.24,156.13,404.11,75.00,693.07,-,66.80,8.91,16.15,17.83,9.64,UPF
Y/E 2021 31 Dec 2021,535.11,162.40,372.71,75.00,621.44,-,35.35,4.71,8.13,9.10,5.69,UPF
9M/2022 30 Sep 2022,519.82,158.73,361.09,75.00,533.97,-,23.71,3.16,8.98,10.25,4.44,UPF
Y/E 2018 31 Dec 2018,7218.18,1407.08,5810.87,120.0,4780.19,101.2,355.76,2.96,5.6,6.15,7.44,WACOAL
Y/E 2019 31 Dec 2019,7468.05,1709.64,5758.19,120.0,5140.54,-6.14,336.08,2.8,5.25,5.81,6.54,WACOAL
Y/E 2020 31 Dec 2020,6667.34,1318.69,5348.47,120.0,3264.57,-18.9,-314.88,-2.62,-5.71,-5.67,-9.65,WACOAL
Y/E 2021 31 Dec 2021,6459.23,1096.81,5362.23,120.0,3332.23,-15.14,-144.44,-1.2,-2.84,-2.7,-4.33,WACOAL
